ID,Comment,Cleaned_Comment,Lemmatized_Comment,Label
443,How am I supposed to go on with my life now wtf lmao,supposed go life wtf lmao,supposed go life wtf lmao,positive
444,“You know what kind of plan never fails? No plan. No plan at all. You know why? Because life cannot be planned.” - Ki-Taek,know kind plan never fails plan plan know life planned kitaek,know kind plan never fails plan plan know life planned kitaek,positive
445,still a masterpiece. still one of the best films of all time.,still masterpiece still one best films time,still masterpiece still one best film time,positive
446,"after geun-sae escapes the bunker....AND steals a knife......AND stabs ki-jeong in the heart........AND traumatizes countless people at this party.......a 70 year-old man sitting behind me leaned over to his wife.......and with no way of knowing how to react........just blurts out......................“wow, he’s really going bananas”",geunsae escapes bunkerand steals knifeand stabs kijeong heartand traumatizes countless people partya 70 yearold man sitting behind leaned wifeand way knowing reactjust blurts outwow hes really going bananas,geunsae escape bunkerand steal knifeand stab kijeong heartand traumatizes countless people partya 70 yearold man sitting behind leaned wifeand way knowing reactjust blurts outwow he really going banana,negative
447,Bitches will say this a masterpiece...,bitches say masterpiece,bitch say masterpiece,neutral
448,So.... any of you heard of Parasite? It's a pretty good movie. Wouldn't want it to get lost in all the new movie excitement and have no one notice.,heard parasite pretty good movie wouldnt want get lost new movie excitement one notice,heard parasite pretty good movie wouldnt want get lost new movie excitement one notice,positive
449,holy shit???? the first good movie??,holy shit first good movie,holy shit first good movie,positive
450,Easily one of the best films of 2019!,easily one best films 2019,easily one best film 2019,positive
451,"The only negative thing about the 4th viewing was that somebody brought a crying baby into the theater. Anyway, check out my earlier write-up on this masterpiece: link.medium.com/QdG86fMem1",negative thing 4th viewing somebody brought crying baby theater anyway check earlier writeup masterpiece linkmediumcomqdg86fmem1,negative thing 4th viewing somebody brought cry baby theater anyway check earlier writeup masterpiece linkmediumcomqdg86fmem1,negative
452,i should’ve kept track of how many times i said wtf during this movie,shouldve kept track many times said wtf movie,shouldve kept track many time said wtf movie,neutral
453,Do it clockwise. ⏰,clockwise,clockwise,neutral
454,"Joining rarified air alongside La Grande Illusion (1937), Z (1969), The Emigrants (1971), Cries and Whispers (1972), Life is Beautiful (1997), Crouching Tiger, Hidden Dragon (2000), Letters from Iwo Jima (2006), Babel (2006), Amour (2012), and Roma (2018), Bong Joon-ho’s dark comedy thriller Parasite 기생충 (2019) is only the twelfth foreign language film to be nominated for the Academy Award for Best Picture (formerly the Academy Award for Outstanding Production).",joining rarified air alongside la grande illusion 1937 z 1969 emigrants 1971 cries whispers 1972 life beautiful 1997 crouching tiger hidden dragon 2000 letters iwo jima 2006 babel 2006 amour 2012 roma 2018 bong joonhos dark comedy thriller parasite 기생충 2019 twelfth foreign language film nominated academy award best picture formerly academy award outstanding production,joining rarified air alongside la grande illusion 1937 z 1969 emigrant 1971 cry whisper 1972 life beautiful 1997 crouching tiger hidden dragon 2000 letter iwo jima 2006 babel 2006 amour 2012 rom 2018 bong joonhos dark comedy thriller parasite 기생충 2019 twelfth foreign language film nominated academy award best picture formerly academy award outstanding production,positive
455,"Bong Joon-ho reigns!!!!!!!!!!!!! Parasite is AMAZING! Love love love this film. A complete and total knockout. A brilliant dark comedy and fantastic take down of rich people. One of Bong Joon-ho's best films, and I LOVE his films, so that's really saying something. A masterclass in filmmaking, with perfect composition, every performance dialed in, and a genius screenplay with so much depth and intelligence and humor. IT RULES. So fucking much. Ahhhh!! I can't wait to see this again.",bong joonho reigns parasite amazing love love love film complete total knockout brilliant dark comedy fantastic take rich people one bong joonhos best films love films thats really saying something masterclass filmmaking perfect composition every performance dialed genius screenplay much depth intelligence humor rules fucking much ahhhh cant wait see,bong joonho reign parasite amazing love love love film complete total knockout brilliant dark comedy fantastic take rich people one bong joonhos best film love film thats really saying something masterclass filmmaking perfect composition every performance dialed genius screenplay much depth intelligence humor rule fucking much ahhhh cant wait see,positive
456,this is one of those movies that won’t ever get boring but you kinda wish you could forget so you can watch for the first time again.,one movies wont ever get boring kinda wish could forget watch first time,one movie wont ever get boring kinda wish could forget watch first time,negative
457,Second viewing.,second viewing,second viewing,neutral
458,All you’ll have to do is come up the stairs.,youll come stairs,youll come stair,neutral
459,"Parasite, i'm in love with you.",parasite im love,parasite im love,positive
460,"""Rich people are naive. No resentments. No creases on them.""",rich people naive resentments creases,rich people naive resentment crease,positive
461,Where were you when Parasite swept?,parasite swept,parasite swept,neutral
462,this might get slightly overhyped.,might get slightly overhyped,might get slightly overhyped,negative
463,Pride shattered by glass,pride shattered glass,pride shattered glass,neutral
464,It amazes me when after all this time films can still feel this original,amazes time films still feel original,amazes time film still feel original,positive
465,forever questioned my love for the rain,forever questioned love rain,forever questioned love rain,positive
466,"Ghastly contortions of morality bludgeon any manicured perceptions of action one may have leave the audience most certainly dumbfounded to the callous intelligence of the labyrinthine fracturing facades that Parasite unyieldingly suffocates one with in a macabre symphony of riveting accounts and proportions. Emphatically inconspicuous is it’s thesis on the inexorable triad of class, psyche and morality, one in its seethingly fierce discretion injects a near cerebral nature to Parasite’s already deafening opera of erratically swirling ethos.",ghastly contortions morality bludgeon manicured perceptions action one may leave audience certainly dumbfounded callous intelligence labyrinthine fracturing facades parasite unyieldingly suffocates one macabre symphony riveting accounts proportions emphatically inconspicuous thesis inexorable triad class psyche morality one seethingly fierce discretion injects near cerebral nature parasites already deafening opera erratically swirling ethos,ghastly contortion morality bludgeon manicured perception action one may leave audience certainly dumbfounded callous intelligence labyrinthine fracturing facade parasite unyieldingly suffocates one macabre symphony riveting account proportion emphatically inconspicuous thesis inexorable triad class psyche morality one seethingly fierce discretion injects near cerebral nature parasite already deafening opera erratically swirling ethos,positive
467,April fools :),april fools,april fool,neutral
468,have y’all heard of this Parasite movie? it’s pretty good,yall heard parasite movie pretty good,yall heard parasite movie pretty good,positive
469,park so dam if you see this i am free on thursday. if you want to hang out with me on thursday when i am free please respond and come over when i am free on thursday so we can hang out on thursday when i am free.,park dam see free thursday want hang thursday free please respond come free thursday hang thursday free,park dam see free thursday want hang thursday free please respond come free thursday hang thursday free,positive
470,i think we can all agree that parasite,think agree parasite,think agree parasite,neutral
471,this is so metaphorical!!!,metaphorical,metaphorical,neutral
472,Loved it!,loved,loved,positive
473,That Ho can really direct,ho really direct,ho really direct,positive
474,"For the longest while I've had Mother as my #1 Bong Joon-ho film. Even having seen Parasite I still, for whatever reason, gave the older movie the (slightest) edge. But with Parasite's recent wide-release I've been thinking about it more and decided I preferred it.",longest ive mother 1 bong joonho film even seen parasite still whatever reason gave older movie slightest edge parasites recent widerelease ive thinking decided preferred,longest ive mother 1 bong joonho film even seen parasite still whatever reason gave older movie slightest edge parasite recent widerelease ive thinking decided preferred,positive
475,forgot how absolutely batshit insane the second hour of this film is. easily the most deserving best picture winner of the last ten years,forgot absolutely batshit insane second hour film easily deserving best picture winner last ten years,forgot absolutely batshit insane second hour film easily deserving best picture winner last ten year,positive
476,"""Parasite"" by Bong Joon-ho is a film that, even upon a second viewing, manages to deeply impress and astonish. The complexity of the plot and the impeccable development of the story offer a sharp and penetrating look at delicate themes such as family and social class.",parasite bong joonho film even upon second viewing manages deeply impress astonish complexity plot impeccable development story offer sharp penetrating look delicate themes family social class,parasite bong joonho film even upon second viewing manages deeply impress astonish complexity plot impeccable development story offer sharp penetrating look delicate theme family social class,positive
477,"My God, I am sooo happy that this amazing film had won Best Picture, Best Director, Best Original Screenplay, and now Best International Feature Film! Tomorrow, I am going to watch this amazing film and remember that this is the only time great films like this will never get this kinda recognition for Best Picture! Now I can sleep better tonight! Bong Joon-Ho, you fucking deserved it!!! 🇰🇷",god sooo happy amazing film best picture best director best original screenplay best international feature film tomorrow going watch amazing film remember time great films like never get kinda recognition best picture sleep better tonight bong joonho fucking deserved,god sooo happy amazing film best picture best director best original screenplay best international feature film tomorrow going watch amazing film remember time great film like never get kinda recognition best picture sleep better tonight bong joonho fucking deserved,positive
478,"Familiar structures, the place where concern lies, where trust lies, everything is a net of connections but everything is also fabricated. The commentary is precisely imagined and well detailed, with a particular care for social conflict and geographic conscience, the class struggle as a moral clash of voluntary servitude with crooked hiccup. Quite funny and dark.",familiar structures place concern lies trust lies everything net connections everything also fabricated commentary precisely imagined well detailed particular care social conflict geographic conscience class struggle moral clash voluntary servitude crooked hiccup quite funny dark,familiar structure place concern lie trust lie everything net connection everything also fabricated commentary precisely imagined well detailed particular care social conflict geographic conscience class struggle moral clash voluntary servitude crooked hiccup quite funny dark,positive
479,This film changed my life 4 years ago and made me love cinema.,film changed life 4 years ago made love cinema,film changed life 4 year ago made love cinema,positive
480,"First time watching on 4K. Parasite is no doubt one of the greatest movies ever made released from the last year of the 2010s, and to be carefully crafted by the talented Bong Joon-ho! Will I buy it from the Criterion? Nah, the 4K format is good enough. Parasite is the only film I logged in so many times over and over. Well that and Joker. We as Americans don’t need to do a remake of it, it’s incredible the way it was made, and be remembered for generations of cinephiles! And if that happens, we might as well need to make a petition before we let the disgraceful, disgusting, and despicable bastards of Hollywood make it happen!",first time watching 4k parasite doubt one greatest movies ever made released last year 2010s carefully crafted talented bong joonho buy criterion nah 4k format good enough parasite film logged many times well joker americans dont need remake incredible way made remembered generations cinephiles happens might well need make petition let disgraceful disgusting despicable bastards hollywood make happen,first time watching 4k parasite doubt one greatest movie ever made released last year 2010s carefully crafted talented bong joonho buy criterion nah 4k format good enough parasite film logged many time well joker american dont need remake incredible way made remembered generation cinephiles happens might well need make petition let disgraceful disgusting despicable bastard hollywood make happen,positive
481,rich people discuss me,rich people discuss,rich people discus,positive
482,yeah i’m at a loss for words,yeah im loss words,yeah im loss word,neutral
483,feels like i've not watched a film until now,feels like ive watched film,feel like ive watched film,neutral
484,I wish I didn't watch that inferior Simpsons parody first.,wish didnt watch inferior simpsons parody first,wish didnt watch inferior simpson parody first,positive
485,"Do I even need to get into a preamble about the value and impact of Parasite? Is there truly anything that hasn't already been said about Bong Joon-ho's magnum opus? Could I have picked a better film to reel in my 23rd birthday? The answer to all of these questions is probably no, but after two meme reviews and a third separate watch, it feels like the fourth viewing of this masterpiece is due for a proper evaluation on my part.",even need get preamble value impact parasite truly anything hasnt already said bong joonhos magnum opus could picked better film reel 23rd birthday answer questions probably two meme reviews third separate watch feels like fourth viewing masterpiece due proper evaluation part,even need get preamble value impact parasite truly anything hasnt already said bong joonhos magnum opus could picked better film reel 23rd birthday answer question probably two meme review third separate watch feel like fourth viewing masterpiece due proper evaluation part,positive
486,Parasite. 2019. Directed by Bong Joon Ho.,parasite 2019 directed bong joon ho,parasite 2019 directed bong joon ho,neutral
487,This is such a great film. Put it on with my friends as neither of them had seen it. So great to see their reactions as I watched it by myself before. Wish I could have seen this in a packed cinema on my first viewing.,great film put friends neither seen great see reactions watched wish could seen packed cinema first viewing,great film put friend neither seen great see reaction watched wish could seen packed cinema first viewing,positive
488,For me Parasite is a great fable about social inequality and also the ingenious mix of genres.,parasite great fable social inequality also ingenious mix genres,parasite great fable social inequality also ingenious mix genre,positive
489,It's an experience. A bloody suspenseful one at that. I couldn't say much more without feeling like I'm ruining it.,experience bloody suspenseful one couldnt say much without feeling like im ruining,experience bloody suspenseful one couldnt say much without feeling like im ruining,negative
490,Saw this for my fourth time with friends.,saw fourth time friends,saw fourth time friend,neutral
491,what. am i not gonna give this shit five stars. come on.,gon na give shit five stars come,gon na give shit five star come,negative
492,"Bong Joon-ho's Parasite is a Discreet Charm of Bourgeoisie with a thriller spin. At its heart it's about how the poor cannibalize each other in hopes of living a lifestyle of the rich instead of demanding any change from the disparity between rich and poor. And though there are lots of twists, it's the buildup first-to-middle act, pre-twists, that is probably Bong's finest work as a filmmaker. It is precise, machine-like, and funny. And most biting in this satire is the respect that the rich receive simply for being rich, seemingly possessing no identifiable human qualities other than their impressive house by a famous architect.",bong joonhos parasite discreet charm bourgeoisie thriller spin heart poor cannibalize hopes living lifestyle rich instead demanding change disparity rich poor though lots twists buildup firsttomiddle act pretwists probably bongs finest work filmmaker precise machinelike funny biting satire respect rich receive simply rich seemingly possessing identifiable human qualities impressive house famous architect,bong joonhos parasite discreet charm bourgeoisie thriller spin heart poor cannibalize hope living lifestyle rich instead demanding change disparity rich poor though lot twist buildup firsttomiddle act pretwists probably bong finest work filmmaker precise machinelike funny biting satire respect rich receive simply rich seemingly possessing identifiable human quality impressive house famous architect,positive
493,korean films continue raising the bar for cinema.,korean films continue raising bar cinema,korean film continue raising bar cinema,neutral
494,Bong Joon Ho Films Ranked,bong joon ho films ranked,bong joon ho film ranked,neutral
495,“Does Oxford have a major in document forgery? Your sister would be top of the class.”,oxford major document forgery sister would top class,oxford major document forgery sister would top class,positive
496,"You know what kind of plan never fails? No plan. No plan at all. You know why? Because life cannot be planned. Look around you. Did you think these people made a plan to sleep in the sports hall with you? But here we are now, sleeping together on the floor. So, there's no need for a plan. You can't go wrong with no plans. We don't need to make a plan for anything. It doesn't matter what will happen next. Even if you kill someone or betray your country, nobody cares. Got it?",know kind plan never fails plan plan know life planned look around think people made plan sleep sports hall sleeping together floor theres need plan cant go wrong plans dont need make plan anything doesnt matter happen next even kill someone betray country nobody cares got,know kind plan never fails plan plan know life planned look around think people made plan sleep sport hall sleeping together floor there need plan cant go wrong plan dont need make plan anything doesnt matter happen next even kill someone betray country nobody care got,positive
497,World Tour 2020,world tour 2020,world tour 2020,neutral
498,"The first time I watched this, I knew it was something special. It was like nothing I had ever seen before, and as I’m making my way through Bong’s filmography, I realized that’s just a common reaction to his movies. No matter genre he makes a film within, he does something brand new with it. He’s truly a treasure.",first time watched knew something special like nothing ever seen im making way bongs filmography realized thats common reaction movies matter genre makes film within something brand new hes truly treasure,first time watched knew something special like nothing ever seen im making way bong filmography realized thats common reaction movie matter genre make film within something brand new he truly treasure,positive
499,"✌️jessica, ✌️only child,✌️",jessica child,jessica child,neutral
500,that sudden shift from comedy to horror?? what a treat,sudden shift comedy horror treat,sudden shift comedy horror treat,neutral
501,"I am utterly stunned and completely in awe of what I’ve just watched. Bong Joon-Ho’s Parasite incapsulates the poverty scale like no other film I’ve ever seen; there are no heroes and villains; there’s no happy ending; there’s just a never-ending ladder of disparity, which everyone climbs to eat just a single crum of wealth.",utterly stunned completely awe ive watched bong joonhos parasite incapsulates poverty scale like film ive ever seen heroes villains theres happy ending theres neverending ladder disparity everyone climbs eat single crum wealth,utterly stunned completely awe ive watched bong joonhos parasite incapsulates poverty scale like film ive ever seen hero villain there happy ending there neverending ladder disparity everyone climb eat single crum wealth,positive
502,"I watched this with my aunt who had never seen it and is pretty wealthy. So of course, at the end, she turned to me and goes, “That was weird.” And I was so shocked! “Weird?” I gasped. “He didn’t have to kill Mr. Park. He did nothing wrong!”",watched aunt never seen pretty wealthy course end turned goes weird shocked weird gasped didnt kill mr park nothing wrong,watched aunt never seen pretty wealthy course end turned go weird shocked weird gasped didnt kill mr park nothing wrong,negative
503,"I missed this back in February when it was released in cinemas (remember those things?) and I guess I'm pretty late to the party now but, I held out and went in knowing as little as possible and now, well this is likely to be my favourite film of 2020.",missed back february released cinemas remember things guess im pretty late party held went knowing little possible well likely favourite film 2020,missed back february released cinema remember thing guess im pretty late party held went knowing little possible well likely favourite film 2020,negative
504,It’s slowly becoming one of my favourite films honestly..,slowly becoming one favourite films honestly,slowly becoming one favourite film honestly,positive
505,Mr Kim cured my anxiety by reassuring me that I can't go wrong if I have no plan.,mr kim cured anxiety reassuring cant go wrong plan,mr kim cured anxiety reassuring cant go wrong plan,negative
506,I can’t explain how tense this movie made me feel. Never really seen anything quite like it.,cant explain tense movie made feel never really seen anything quite like,cant explain tense movie made feel never really seen anything quite like,negative
507,"Pretty friggin' great. Twisted and hilarious, on the edge of my seat for 80% of the runtime, thought-provoking and filled to the brim with great performances, I can totally understand why this film is garnering it's praise.",pretty friggin great twisted hilarious edge seat 80 runtime thoughtprovoking filled brim great performances totally understand film garnering praise,pretty friggin great twisted hilarious edge seat 80 runtime thoughtprovoking filled brim great performance totally understand film garnering praise,positive
508,"As a fan of Bong Joon-ho I was very excited to see this film and I'm very glad I was able to as soon as I could, especially considering I was particularly excited to see him making another Korean language film. This film somehow lived up to the already immense hype surrounding it from Cannes and elsewhere, blowing me away and being probably his best film and possibly the best film of the year.",fan bong joonho excited see film im glad able soon could especially considering particularly excited see making another korean language film film somehow lived already immense hype surrounding cannes elsewhere blowing away probably best film possibly best film year,fan bong joonho excited see film im glad able soon could especially considering particularly excited see making another korean language film film somehow lived already immense hype surrounding cannes elsewhere blowing away probably best film possibly best film year,positive
509,‪My favourite film this year so far! Watch it when you get the chance! Never saw anything quite like it. Can‘t wait to watch it again!,favourite film year far watch get chance never saw anything quite like cant wait watch,favourite film year far watch get chance never saw anything quite like cant wait watch,positive
510,"(While I don’t blatantly spoil anything specific, I wouldn’t read this if you would like to go in completely blind, I suppose.)",dont blatantly spoil anything specific wouldnt read would like go completely blind suppose,dont blatantly spoil anything specific wouldnt read would like go completely blind suppose,negative
511,"Woah. Holy Shit. The consequences of the socioeconomic classes inequality portrayed in a horrific and vicious way, that is political but executed in a subtle way, spoken through this modern cinematic masterpiece. Bong Joon-Ho take a bow.",woah holy shit consequences socioeconomic classes inequality portrayed horrific vicious way political executed subtle way spoken modern cinematic masterpiece bong joonho take bow,woah holy shit consequence socioeconomic class inequality portrayed horrific vicious way political executed subtle way spoken modern cinematic masterpiece bong joonho take bow,negative
512,Maybe the real parasite was the friends we made along the way.,maybe real parasite friends made along way,maybe real parasite friend made along way,positive
513,Why do I have to watch every movie twice to realize how brilliant it is?,watch every movie twice realize brilliant,watch every movie twice realize brilliant,positive
514,"🍑's am I right? If you know, you know.",right know know,right know know,positive
515,"class consciousness in the 2010s deserves a lucid and incisive critique of capital and the way it warps our minds, and this trite 'Us'-level allegory ain't it, fam.",class consciousness 2010s deserves lucid incisive critique capital way warps minds trite uslevel allegory aint fam,class consciousness 2010s deserves lucid incisive critique capital way warp mind trite uslevel allegory aint fam,neutral
516,12 year old me after a sleepover at my rich friend’s house (i ate all her candy),12 year old sleepover rich friends house ate candy,12 year old sleepover rich friend house ate candy,positive
517,"An incredible piece of stand-out foreign cinema. Utterly compelling, and packed with brilliant artistic choices and symbolism. This is a masterpiece.",incredible piece standout foreign cinema utterly compelling packed brilliant artistic choices symbolism masterpiece,incredible piece standout foreign cinema utterly compelling packed brilliant artistic choice symbolism masterpiece,positive
518,How to spell bong joon-ho:,spell bong joonho,spell bong joonho,neutral
519,Masterfully created. What else could you give it except 5 stars? Mickey 17 has a lot to live up to.,masterfully created else could give except 5 stars mickey 17 lot live,masterfully created else could give except 5 star mickey 17 lot live,positive
520,"the most fascinating thing about this film is that before watching it, you think “oh it cannot possibly be THAT good” then you watch it and it's actually even better than people say it is.",fascinating thing film watching think oh possibly good watch actually even better people say,fascinating thing film watching think oh possibly good watch actually even better people say,positive
521,It’s cool when the Academy gets it right,cool academy gets right,cool academy get right,positive
522,i'll never get tired of watching this,ill never get tired watching,ill never get tired watching,negative
523,"Before Parasite is done, you will ask the film, ""what the fuck,"" and you will be glad you did.",parasite done ask film fuck glad,parasite done ask film fuck glad,positive
524,"“Don’t call me sis, you filthy bitch!”",dont call sis filthy bitch,dont call si filthy bitch,negative
525,and that’s on peaches,thats peaches,thats peach,neutral
526,"Fantastic, loved it, Joon-ho nails this one, perfect mixture of suspense, terror and comedy. The only thing keeping me from giving it 5 stars is how much of the movie was telegraphed. But still a great ride.",fantastic loved joonho nails one perfect mixture suspense terror comedy thing keeping giving 5 stars much movie telegraphed still great ride,fantastic loved joonho nail one perfect mixture suspense terror comedy thing keeping giving 5 star much movie telegraphed still great ride,positive
527,MASTERPIECE! Parasite deserves all the praise and awards it has received and more. It is really refreshing to see a truly deserving movie receive this kind of feedback.,masterpiece parasite deserves praise awards received really refreshing see truly deserving movie receive kind feedback,masterpiece parasite deserves praise award received really refreshing see truly deserving movie receive kind feedback,positive
528,i could not understand what they were saying,could understand saying,could understand saying,neutral
529,"Arguably co-writer and director Bong Joon-ho's most accomplished work as a filmmaker to date, Parasite is a film that not only lives up to the immense hype leading up to it (well, mainly from Film Twitter and mutuals) but somehow manages to surpass and even shatter it, rewarding its viewers with an uncomfortably hilarious, unapologetically bleak, and powerfully acted satirical thriller that's as wildly unpredictable as it is staggeringly well-crafted.",arguably cowriter director bong joonhos accomplished work filmmaker date parasite film lives immense hype leading well mainly film twitter mutuals somehow manages surpass even shatter rewarding viewers uncomfortably hilarious unapologetically bleak powerfully acted satirical thriller thats wildly unpredictable staggeringly wellcrafted,arguably cowriter director bong joonhos accomplished work filmmaker date parasite film life immense hype leading well mainly film twitter mutuals somehow manages surpass even shatter rewarding viewer uncomfortably hilarious unapologetically bleak powerfully acted satirical thriller thats wildly unpredictable staggeringly wellcrafted,positive
530,i’d be right next to ki-jung smoking that cigarette cause what the hell else can you do?,id right next kijung smoking cigarette cause hell else,id right next kijung smoking cigarette cause hell else,positive
531,"Here’s the announcement: I’m so proud to announce tonight’s relaunch of The Global Film Podcast! Featuring weekly roundtables with Letterboxd users, critics from Variety, Indiewire among others, and cinephiles, & filmmakers, we discuss everything from new releases to awards predictions and more! Check out our slate for the rest of the year, and scroll down to the end if you’d like to sign up to guest star on a future episode!",heres announcement im proud announce tonights relaunch global film podcast featuring weekly roundtables letterboxd users critics variety indiewire among others cinephiles filmmakers discuss everything new releases awards predictions check slate rest year scroll end youd like sign guest star future episode,here announcement im proud announce tonight relaunch global film podcast featuring weekly roundtable letterboxd user critic variety indiewire among others cinephiles filmmaker discus everything new release award prediction check slate rest year scroll end youd like sign guest star future episode,positive
532,"I don't have much to say that you haven't already heard. So, I'm just gonna say that the dog under the bed is what I call cinema.",dont much say havent already heard im gon na say dog bed call cinema,dont much say havent already heard im gon na say dog bed call cinema,positive
533,The People Under The Stairs,people stairs,people stair,neutral
534,2019 was THE year of the movies.,2019 year movies,2019 year movie,neutral
535,You know... the word “masterpiece” gets thrown around a lot these days.,know word masterpiece gets thrown around lot days,know word masterpiece get thrown around lot day,neutral
536,- You know what kind of plan that never fails? No plan. No plan at all. You know why? Because life cannot be planned.,know kind plan never fails plan plan know life planned,know kind plan never fails plan plan know life planned,positive
537,Watched this one with a friend—finished at 5am and then immediately proceeded to walk to the World Trade Center and got back at 8am,watched one friendfinished 5am immediately proceeded walk world trade center got back 8am,watched one friendfinished 5am immediately proceeded walk world trade center got back 8am,negative
538,Previous review here,previous review,previous review,negative
539,"Yes, I’m watching this movie late, and part of me didn’t think it could live up to the hype... but I was pleasantly surprised - top 20 for sure.",yes im watching movie late part didnt think could live hype pleasantly surprised top 20 sure,yes im watching movie late part didnt think could live hype pleasantly surprised top 20 sure,positive
540,Rich people are naive. No resentment. No creases on them.,rich people naive resentment creases,rich people naive resentment crease,positive
541,This is the Citizen Kane of films,citizen kane films,citizen kane film,neutral
542,A perfect movie exists and it’s called Parasite.,perfect movie exists called parasite,perfect movie exists called parasite,positive
543,"Parasite is two sides of a cinematic coin; the first half is a rousing character-driven social satire, the second is an expertly directed social thriller. The first viewing I felt a little distanced from the second half because the character peelbacks stopped and it was all reaction to a heightened situation. On the second viewing, knowing where it’s going, what Bong Joon-ho achieves hits me harder. It’s two halves about the haves and have nots, two genres, and two viewings make the whole even more rewarding... even if it’s all a little too perfect for me to stand up and applaud (the whole elaborate plan goes off without a hitch and first sign of trouble dad says, “plans don’t work!”)",parasite two sides cinematic coin first half rousing characterdriven social satire second expertly directed social thriller first viewing felt little distanced second half character peelbacks stopped reaction heightened situation second viewing knowing going bong joonho achieves hits harder two halves haves nots two genres two viewings make whole even rewarding even little perfect stand applaud whole elaborate plan goes without hitch first sign trouble dad says plans dont work,parasite two side cinematic coin first half rousing characterdriven social satire second expertly directed social thriller first viewing felt little distanced second half character peelbacks stopped reaction heightened situation second viewing knowing going bong joonho achieves hit harder two half have nots two genre two viewing make whole even rewarding even little perfect stand applaud whole elaborate plan go without hitch first sign trouble dad say plan dont work,positive
544,This is so fucking peak fuckkkkk. Bong Joon-Ho,fucking peak fuckkkkk bong joonho,fucking peak fuckkkkk bong joonho,negative
545,"well, wasn’t that peachy",well wasnt peachy,well wasnt peachy,neutral
546,"Without a doubt, the easiest 5 star rating I’ve ever given. This film exceeds expectations on every possible level, even on a second watch. It is the most popular, and the highest rated film on Letterboxd for good reason. It appeals to the cinephile crowd by being filled with allegory and metaphor while exploring and questioning the underlining fundamentals of the systems that have always been in place, and it also appeals to general audiences by being one of the most wildly entertaining movies ever, excellent usage of editing, and an original premise which is fascinating enough to keep your interest for the entire film. I find the juxtaposition of the opposite social classes to be pretty spot on at times, but it’s effective nonetheless. If I had to say one negative thing about this film, it would be about how Bong portrays the lower class Kim family as people who are only capable of getting by through living a con life. But I also don’t fully disagree with this portrayal because in a way, the lower class is powerless to the hierarchies of a capitalist society. But really, Bong portrays this family as lazy over anything, unmotivated to even complete the simple task of folding pizza boxes. But this misportrayal of an entire social class is quickly lost in the insanity of the turn that the film takes in the second half.",without doubt easiest 5 star rating ive ever given film exceeds expectations every possible level even second watch popular highest rated film letterboxd good reason appeals cinephile crowd filled allegory metaphor exploring questioning underlining fundamentals systems always place also appeals general audiences one wildly entertaining movies ever excellent usage editing original premise fascinating enough keep interest entire film find juxtaposition opposite social classes pretty spot times effective nonetheless say one negative thing film would bong portrays lower class kim family people capable getting living con life also dont fully disagree portrayal way lower class powerless hierarchies capitalist society really bong portrays family lazy anything unmotivated even complete simple task folding pizza boxes misportrayal entire social class quickly lost insanity turn film takes second half,without doubt easiest 5 star rating ive ever given film exceeds expectation every possible level even second watch popular highest rated film letterboxd good reason appeal cinephile crowd filled allegory metaphor exploring questioning underlining fundamental system always place also appeal general audience one wildly entertaining movie ever excellent usage editing original premise fascinating enough keep interest entire film find juxtaposition opposite social class pretty spot time effective nonetheless say one negative thing film would bong portrays lower class kim family people capable getting living con life also dont fully disagree portrayal way lower class powerless hierarchy capitalist society really bong portrays family lazy anything unmotivated even complete simple task folding pizza box misportrayal entire social class quickly lost insanity turn film take second half,positive
547,(Spoilers ahead),spoilers ahead,spoiler ahead,neutral
548,jesus fucking christ i really didn’t expect this film to get this insane! but what else should i expect from bong joon-ho at this point. goat.,jesus fucking christ really didnt expect film get insane else expect bong joonho point goat,jesus fucking christ really didnt expect film get insane else expect bong joonho point goat,negative
549,"One of the most perfect films of the decade , maybe even the 21st century. I don't even think it has any flaws, like at all. It broke my heart how ki-woo told ki-jung how she's the only person in their family who looks like they can live in the rich house only for her to be eliminated first. The dad saving the mom's medal during the flood...ommgg💔❤️‍🩹. Dasong was also a genius, it's only that they never focused on him, the painting, the morse code, connecting how the four were related by the same smell. And when ki-woo writes his father a letter about his plans, how he's going to earn money, join university, get a career, marriage and buy the house so that he'll be able to walk up the stairs even after his father warned him about plans...i sure felt that.",one perfect films decade maybe even 21st century dont even think flaws like broke heart kiwoo told kijung shes person family looks like live rich house eliminated first dad saving moms medal floodommgg dasong also genius never focused painting morse code connecting four related smell kiwoo writes father letter plans hes going earn money join university get career marriage buy house hell able walk stairs even father warned plansi sure felt,one perfect film decade maybe even 21st century dont even think flaw like broke heart kiwoo told kijung shes person family look like live rich house eliminated first dad saving mom medal floodommgg dasong also genius never focused painting morse code connecting four related smell kiwoo writes father letter plan he going earn money join university get career marriage buy house hell able walk stair even father warned plansi sure felt,positive
